162 147 109 274
109 274 279 384
279 384 183 405
183 405 155 442
155 442 227 453
227 453 316 437
316 437 317 383
317 383 280 312
280 312 349 293
349 293 378 319
378 319 369 378
369 378 375 410
375 410 402 435
402 435 456 436
456 436 464 380
464 380 415 343
415 343 391 287
391 287 379 259
379 259 367 246
367 246 365 197
365 197 395 162
395 162 405 147
405 147 409 107
409 107 304 104
304 104 288 104
288 104 207 42
207 42 207 29
207 29 152 48
152 48 116 74
116 74 147 92
147 92 185 100
185 100 114 104
114 104 77 128
77 128 60 144
60 144 139 158
139 158 161 150
